CustomerID,Age,Tenure_Months,Monthly_Charges,Total_Charges,Num_Products,Support_Calls,Payment_Delay_Days,Contract_Type,Internet_Service,Gender,Churned
38,68,24,110.0,4054.93,2,6,28,One Year,Fibre,Male,1
39,61,55,55.34,6376.67,2,4,1,One Year,None,Male,0
40,69,9,43.69,5685.98,4,3,22,Month-to-Month,DSL,Female,1
41,20,3,98.05,496.79,3,6,25,Month-to-Month,Fibre,Male,1
42,54,31,47.48,675.92,2,9,0,Month-to-Month,DSL,Female,1
43,68,40,102.26,3282.7,4,1,15,Month-to-Month,Fibre,Female,1
44,24,36,62.37,2432.79,2,0,22,Two Year,None,Male,0
45,38,24,86.75,1935.84,3,0,5,Month-to-Month,Fibre,Male,1
46,26,6,29.55,2319.94,4,0,22,Two Year,None,Male,0
47,56,66,82.39,6447.51,3,4,15,Two Year,DSL,Male,0
48,35,4,65.18,7440.9,4,9,13,Month-to-Month,None,Male,1
49,21,6,78.66,3300.31,3,6,28,Month-to-Month,DSL,Male,1
50,42,51,36.8,7258.28,2,1,25,Two Year,None,Female,0
51,31,62,93.69,2639.82,2,9,2,Two Year,DSL,Female,0
52,67,57,106.28,3863.85,3,7,14,Month-to-Month,DSL,Female,1
53,26,66,41.67,1885.63,3,3,2,Month-to-Month,Fibre,Female,0
54,43,8,29.57,5159.76,3,2,22,One Year,None,Male,1
55,19,26,22.36,7833.95,4,9,28,One Year,DSL,Male,1
56,37,51,84.2,4867.6,2,7,1,Month-to-Month,DSL,Female,1
57,45,45,80.71,2926.73,4,1,0,One Year,None,Female,0
58,64,44,74.67,5217.76,2,2,8,Month-to-Month,DSL,Female,1
59,24,5,43.19,1071.07,1,2,8,Month-to-Month,DSL,Male,1
60,61,70,59.09,7120.41,4,9,22,Month-to-Month,Fibre,Male,1
61,25,26,79.45,4074.36,2,0,6,Month-to-Month,DSL,Male,1
62,64,68,69.68,3649.86,2,5,2,Month-to-Month,None,Female,1
63,52,19,118.78,4728.33,4,1,25,Month-to-Month,Fibre,Female,1
64,31,20,33.64,5035.79,4,0,17,Month-to-Month,Fibre,Male,1
65,34,12,89.51,667.03,2,1,10,Month-to-Month,None,Male,1
66,53,47,60.43,5492.68,4,5,6,Month-to-Month,Fibre,Female,1
67,67,1,62.82,2011.26,3,3,8,Two Year,DSL,Female,0
68,57,14,91.76,5740.23,4,5,0,Month-to-Month,DSL,Male,1
69,21,64,89.24,6598.02,4,8,28,Month-to-Month,Fibre,Female,1
70,19,38,119.13,6451.27,4,9,13,One Year,DSL,Male,1
71,23,37,32.84,4464.76,2,9,19,Two Year,None,Male,0
72,59,11,30.41,4209.34,3,7,5,Month-to-Month,Fibre,Female,1
73,21,3,92.43,1228.72,1,0,6,One Year,DSL,Female,1
74,46,33,77.84,6225.23,1,7,9,One Year,Fibre,Female,1
75,35,6,47.42,2244.13,3,8,6,One Year,Fibre,Male,1
76,43,50,27.94,4023.89,3,5,25,Month-to-Month,None,Female,1
77,61,10,28.57,2345.77,3,9,1,One Year,None,Female,1
78,51,5,109.42,1157.24,2,4,29,Month-to-Month,Fibre,Male,1
79,27,23,39.19,5073.51,1,5,3,One Year,Fibre,Male,0
80,53,10,52.34,529.22,3,5,20,One Year,Fibre,Female,1
81,31,44,42.67,6014.3,2,8,29,Month-to-Month,Fibre,Male,1
82,48,2,55.5,2608.94,1,3,27,Two Year,DSL,Male,0
83,65,13,26.94,101.06,4,1,16,Month-to-Month,DSL,Male,1
84,32,40,71.91,4137.92,2,8,0,Two Year,Fibre,Female,0
85,25,2,26.76,470.13,1,1,9,Month-to-Month,DSL,Female,1
86,31,65,100.04,2281.74,2,9,18,Month-to-Month,DSL,Male,1
87,40,63,43.37,5685.11,1,8,14,Month-to-Month,Fibre,Male,1
88,57,17,74.0,595.25,1,1,9,Two Year,DSL,Male,0
89,38,9,108.01,6730.77,4,7,18,Month-to-Month,Fibre,Female,1
90,33,15,85.09,130.18,2,8,11,Month-to-Month,Fibre,Male,1
91,62,24,73.3,2049.91,3,9,23,Month-to-Month,None,Male,1
92,35,38,52.43,5953.14,4,8,15,One Year,Fibre,Female,1
93,64,35,53.3,2598.53,4,9,8,One Year,DSL,Male,1
94,41,49,86.95,904.95,1,8,14,Month-to-Month,Fibre,Female,1
95,43,69,119.41,2945.85,3,1,29,Month-to-Month,None,Female,1
96,42,62,86.18,2236.11,2,3,26,Month-to-Month,None,Female,1
97,62,60,75.78,6757.42,3,6,27,Month-to-Month,Fibre,Male,1
98,58,50,93.07,2575.45,3,1,16,Month-to-Month,DSL,Male,1
99,46,9,66.52,6332.57,3,0,13,One Year,None,Female,0
100,32,34,26.01,7145.79,3,2,26,Month-to-Month,DSL,Male,1
101,62,35,76.23,3527.16,3,3,17,Month-to-Month,Fibre,Female,1
102,18,1,115.76,7288.55,1,7,25,Month-to-Month,Fibre,Male,1
103,42,40,37.53,3080.81,1,5,1,Two Year,DSL,Female,0
104,24,64,89.0,7716.22,4,1,3,Two Year,DSL,Female,0
105,26,22,40.09,805.39,1,8,17,Two Year,DSL,Male,0
106,41,60,73.58,5527.45,4,1,6,Month-to-Month,Fibre,Male,0
107,18,64,29.67,4001.13,4,4,12,Month-to-Month,None,Male,1
108,61,11,65.04,3162.43,2,3,14,Month-to-Month,DSL,Male,1
109,25,14,95.62,5098.42,3,6,24,Month-to-Month,None,Female,1
110,41,60,54.76,5660.47,1,7,22,One Year,DSL,Female,1
111,28,30,86.49,134.47,2,4,27,One Year,Fibre,Male,1
112,68,35,99.54,1418.93,1,9,21,Two Year,DSL,Male,1
113,34,37,112.72,5733.06,4,4,25,Two Year,None,Female,0
114,25,5,43.46,5364.44,1,1,0,Month-to-Month,Fibre,Male,1
115,52,26,59.93,7731.78,3,7,10,One Year,Fibre,Male,1
116,52,62,35.24,6112.2,4,1,9,Month-to-Month,None,Male,1
117,50,4,119.25,7611.1,4,9,24,Month-to-Month,Fibre,Male,1
118,22,42,112.7,5650.07,2,5,4,One Year,None,Female,0
119,59,18,74.0,2454.61,3,7,15,Month-to-Month,Fibre,Female,1
120,56,40,104.2,932.38,4,5,10,Month-to-Month,None,Male,1
121,58,39,72.1,6276.41,3,3,20,Month-to-Month,Fibre,Female,1
122,45,14,82.36,5188.78,1,3,5,One Year,DSL,Male,0
123,24,32,28.91,480.67,3,5,8,One Year,Fibre,Male,0
124,26,51,95.53,2944.4,4,3,12,Month-to-Month,DSL,Male,1
125,25,38,32.77,7658.72,2,7,23,Two Year,Fibre,Female,0
126,29,23,102.61,4053.17,4,8,7,Month-to-Month,Fibre,Female,1
127,51,63,98.2,3518.56,3,0,13,Month-to-Month,Fibre,Female,1
128,50,15,90.87,3715.83,3,3,23,One Year,DSL,Female,1
129,65,25,23.62,1750.17,4,3,0,One Year,DSL,Female,0
130,40,17,50.31,3012.79,3,1,16,Two Year,Fibre,Male,0
131,41,66,46.31,3021.52,1,5,23,Month-to-Month,None,Male,1
132,54,53,56.01,513.6,4,2,4,One Year,DSL,Female,0
133,52,51,28.76,6163.78,2,6,24,One Year,Fibre,Female,1
134,61,39,113.7,3390.39,4,4,1,Two Year,Fibre,Female,0
135,57,51,75.38,6595.22,1,3,24,Month-to-Month,Fibre,Male,1
136,39,70,50.55,6817.75,1,4,27,One Year,DSL,Female,0
137,44,6,59.7,1774.75,1,7,29,One Year,Fibre,Male,1
138,52,67,64.72,5293.09,1,2,23,Month-to-Month,DSL,Male,1
139,18,7,80.06,3831.03,1,6,8,Month-to-Month,None,Female,1
140,52,51,71.57,7053.24,2,5,3,Month-to-Month,DSL,Male,1
141,54,42,111.94,1804.35,3,0,16,One Year,DSL,Male,0
142,64,64,69.7,5454.72,1,6,16,Two Year,DSL,Female,0
143,31,15,119.22,4901.24,1,6,20,One Year,DSL,Male,1
144,20,29,105.14,2432.88,4,0,17,One Year,Fibre,Female,0
145,18,33,40.85,1179.15,2,8,15,One Year,DSL,Male,0
146,22,27,113.06,5247.95,2,5,29,Month-to-Month,DSL,Female,1
147,43,36,31.64,5934.92,3,1,7,Month-to-Month,Fibre,Female,1
148,31,29,101.74,2593.46,2,4,25,Month-to-Month,DSL,Male,1
149,56,38,58.06,5194.18,4,3,10,Month-to-Month,DSL,Female,1
150,44,57,107.8,3221.53,4,6,20,Month-to-Month,None,Male,1
151,26,27,106.81,5734.33,3,7,20,One Year,Fibre,Male,1
152,32,55,100.59,1673.8,4,0,17,Month-to-Month,None,Female,1
153,32,33,99.0,7132.7,1,4,22,Month-to-Month,None,Male,1
154,43,68,50.47,2370.54,1,2,28,Month-to-Month,Fibre,Female,1
155,59,66,28.09,3005.51,4,0,23,Month-to-Month,DSL,Male,1
156,30,10,60.3,558.93,3,2,9,Two Year,Fibre,Male,0
157,68,5,37.35,980.95,2,5,12,Two Year,None,Female,0
158,49,38,89.5,4175.31,3,6,16,One Year,Fibre,Male,1
159,56,13,54.61,2213.98,2,7,17,Month-to-Month,Fibre,Male,1
160,66,31,117.56,6700.29,4,3,9,One Year,DSL,Male,0
161,69,47,84.1,216.08,4,2,15,Two Year,None,Male,0
162,49,52,102.25,3094.84,1,4,19,One Year,Fibre,Male,0
163,21,56,33.25,2765.03,2,8,4,Month-to-Month,None,Male,1
164,47,15,106.2,252.69,3,5,12,One Year,DSL,Male,0
165,54,29,112.28,1082.51,4,8,17,Two Year,DSL,Male,1
166,40,8,68.71,3367.78,3,5,16,One Year,DSL,Female,1
167,56,5,80.63,3993.63,1,1,8,One Year,Fibre,Male,0
168,62,29,96.48,3293.89,2,4,13,Month-to-Month,DSL,Male,1
169,32,47,37.48,4294.41,2,8,16,One Year,DSL,Female,1
170,60,68,70.26,4801.54,4,7,28,Month-to-Month,None,Female,1
171,46,45,59.87,178.4,2,6,3,One Year,DSL,Female,0
172,53,2,34.64,3766.35,4,0,17,Month-to-Month,None,Male,1
173,30,27,56.75,7711.64,1,3,26,Month-to-Month,DSL,Female,1
174,49,36,26.82,4200.36,2,6,19,Month-to-Month,None,Female,1
175,24,36,22.58,5452.58,4,6,23,One Year,Fibre,Male,0
176,68,26,33.52,2563.72,3,5,23,Month-to-Month,None,Male,1
177,39,43,116.31,6214.53,4,7,14,One Year,None,Female,1
178,45,27,74.95,6206.08,2,5,10,One Year,DSL,Female,1
179,19,69,116.58,4218.24,1,9,11,Month-to-Month,DSL,Male,1
180,59,20,63.25,7810.51,2,2,8,Month-to-Month,DSL,Male,1
181,62,11,51.18,1091.85,2,3,12,Month-to-Month,Fibre,Male,1
182,23,38,70.61,233.89,4,2,14,Two Year,None,Male,0
183,45,6,63.95,6184.25,3,0,26,One Year,Fibre,Male,1
184,45,23,30.57,6476.53,2,9,14,Month-to-Month,Fibre,Female,1
185,61,47,84.08,1049.64,3,4,27,Month-to-Month,DSL,Male,1
186,61,46,41.6,2198.1,4,0,4,One Year,None,Male,0
187,37,12,81.96,238.66,3,0,22,Two Year,None,Male,0
188,47,13,85.02,2417.14,4,1,18,Two Year,DSL,Male,0
189,28,62,35.2,6207.82,1,3,25,One Year,Fibre,Male,0
190,45,60,26.13,4191.89,3,5,19,Month-to-Month,DSL,Female,1
191,42,43,98.08,2849.96,3,7,25,Month-to-Month,Fibre,Male,1
192,56,68,65.98,3036.74,1,2,24,Month-to-Month,Fibre,Female,1
193,50,5,25.82,110.69,3,0,25,Month-to-Month,DSL,Male,1
194,18,37,119.49,2468.42,1,2,25,Month-to-Month,Fibre,Female,1
195,44,31,25.78,5207.02,2,2,13,Month-to-Month,DSL,Female,1
196,69,9,89.5,7796.14,4,4,27,Month-to-Month,Fibre,Male,1
197,30,51,118.37,6791.78,1,3,16,Two Year,Fibre,Male,0
198,58,29,43.92,286.4,3,3,17,One Year,DSL,Male,0
199,20,40,34.22,7198.63,1,8,20,Two Year,Fibre,Male,0
200,56,41,32.14,6287.27,3,6,2,One Year,Fibre,Male,0
201,23,11,50.33,6264.97,2,3,1,Month-to-Month,DSL,Female,1
202,25,23,30.1,3718.17,1,2,0,One Year,DSL,Male,0
203,44,1,89.22,3244.24,2,5,9,Month-to-Month,Fibre,Male,1
204,26,46,26.23,2493.03,4,2,18,One Year,None,Female,0
205,54,21,70.94,618.99,3,5,16,Month-to-Month,DSL,Male,1
206,50,36,119.67,1903.06,3,8,11,Two Year,DSL,Female,0
207,68,54,101.4,2048.17,2,5,0,Month-to-Month,DSL,Male,1
208,59,57,81.52,3924.21,4,3,11,Month-to-Month,Fibre,Female,1
209,61,1,50.63,6004.81,1,4,16,Two Year,DSL,Male,1
210,41,63,82.39,3843.1,1,5,23,Month-to-Month,DSL,Female,1
211,32,54,72.7,556.97,3,2,2,One Year,Fibre,Female,0
212,49,55,62.61,7666.54,2,7,10,One Year,Fibre,Male,0
213,49,40,33.07,7547.52,2,3,16,Two Year,DSL,Male,0
214,41,15,108.66,6303.0,1,7,22,Two Year,Fibre,Male,1
215,58,21,64.98,7931.49,4,9,25,Two Year,Fibre,Female,1
216,69,47,39.46,4401.41,4,9,2,Month-to-Month,DSL,Female,1
217,66,53,56.78,7705.87,1,2,7,Two Year,DSL,Female,0
218,66,9,61.41,697.28,1,9,19,One Year,None,Male,1
219,69,52,102.75,2988.88,2,6,3,One Year,DSL,Male,0
220,29,57,93.36,1880.51,4,8,20,Month-to-Month,Fibre,Female,1
221,56,26,96.93,1647.08,1,3,21,One Year,None,Male,0
222,19,41,21.1,1212.34,1,7,6,Two Year,DSL,Female,0
223,20,35,61.62,5017.07,3,2,13,Two Year,DSL,Male,0
224,66,63,68.13,6272.44,1,6,13,Month-to-Month,Fibre,Male,1
225,54,25,21.92,4668.56,1,2,3,Month-to-Month,None,Female,1
226,66,38,45.98,1261.01,4,6,15,Month-to-Month,None,Male,1
227,34,2,96.03,6507.88,2,9,23,Two Year,Fibre,Male,1
228,66,7,33.71,5124.04,4,9,28,One Year,DSL,Male,1
229,19,34,73.53,3166.51,2,5,21,Month-to-Month,Fibre,Male,1
230,19,17,41.52,5425.63,3,1,29,Month-to-Month,Fibre,Male,1
231,45,43,21.21,2153.25,1,2,0,Month-to-Month,Fibre,Female,1
232,40,59,44.12,2827.02,3,5,16,Month-to-Month,DSL,Male,1
233,54,51,117.59,7348.14,2,3,24,Two Year,DSL,Female,0
234,49,54,100.15,2394.99,4,5,9,One Year,Fibre,Male,0
235,50,24,115.96,3812.91,4,0,21,Month-to-Month,Fibre,Male,1
236,18,25,68.79,7132.11,3,9,15,One Year,DSL,Female,0
237,36,71,30.97,5691.0,2,0,15,Month-to-Month,DSL,Female,0
238,19,52,74.8,591.41,3,2,25,Two Year,None,Male,0
239,61,70,65.44,1263.69,3,7,7,Month-to-Month,Fibre,Male,1
240,43,33,104.44,161.95,1,7,28,Month-to-Month,DSL,Female,1
241,49,49,29.81,5084.28,3,3,6,Month-to-Month,DSL,Female,1
242,23,29,68.82,3636.62,1,5,27,One Year,DSL,Female,1
243,49,63,35.0,1160.77,1,7,5,One Year,None,Female,0
244,21,22,52.47,7667.68,4,6,15,One Year,Fibre,Male,1
245,28,26,93.74,4284.31,1,6,19,Month-to-Month,Fibre,Male,1
246,34,28,67.6,2010.96,1,3,15,Month-to-Month,Fibre,Male,1
247,55,49,57.59,4054.77,4,8,6,Month-to-Month,DSL,Male,1
248,41,71,59.45,5469.0,3,9,8,One Year,None,Male,0
249,22,49,65.94,702.29,2,5,13,Month-to-Month,Fibre,Female,1
250,69,20,98.5,2270.16,2,2,10,One Year,DSL,Female,0
251,51,63,109.21,6475.03,2,4,25,Two Year,DSL,Female,0
252,23,61,115.53,3731.35,3,4,25,Two Year,Fibre,Male,0
253,39,49,98.69,4417.96,1,4,13,Month-to-Month,None,Female,1
254,28,71,51.54,3519.25,2,7,6,Month-to-Month,DSL,Male,1
255,65,1,88.81,446.81,3,8,0,Month-to-Month,None,Male,1
256,33,13,63.76,1409.42,1,8,25,One Year,Fibre,Male,1
257,50,51,45.47,3619.78,4,5,24,Two Year,DSL,Female,0
258,26,56,104.09,1752.57,2,5,12,Month-to-Month,DSL,Male,1
259,23,62,23.84,494.83,1,8,19,Month-to-Month,DSL,Male,1
260,33,32,110.18,6764.83,2,3,2,Two Year,Fibre,Female,0
261,46,30,66.15,7851.42,2,5,19,Two Year,DSL,Male,0
262,20,29,83.72,6365.83,2,3,3,Month-to-Month,DSL,Female,1
263,37,49,85.94,6844.9,1,0,28,One Year,Fibre,Male,0
264,53,45,109.51,2011.62,3,6,25,Month-to-Month,Fibre,Female,1
265,36,30,83.67,7688.95,1,9,10,Month-to-Month,DSL,Male,1
266,43,16,81.39,1655.71,2,5,1,Two Year,Fibre,Male,0
267,20,40,26.67,7616.3,1,8,13,Two Year,Fibre,Female,0
268,36,19,71.84,7959.07,4,6,11,One Year,Fibre,Male,1
269,37,18,35.02,5722.61,3,6,29,Month-to-Month,None,Female,1
270,49,1,93.74,7851.04,1,1,16,Two Year,DSL,Male,0
271,24,47,71.22,4599.36,4,8,11,Month-to-Month,None,Female,1
272,69,66,88.02,2150.38,3,9,25,Month-to-Month,Fibre,Male,1
273,58,38,24.17,3552.27,4,8,11,One Year,Fibre,Male,1
274,50,51,28.48,4789.13,3,5,0,Month-to-Month,Fibre,Male,1
275,57,63,91.63,677.34,1,2,12,One Year,Fibre,Female,0
276,56,4,27.21,5016.51,4,0,13,One Year,DSL,Female,0
277,35,1,27.13,7851.3,2,3,23,Month-to-Month,Fibre,Female,1
278,57,8,21.21,1601.85,4,2,29,Month-to-Month,Fibre,Female,1
279,18,29,115.65,6361.5,3,0,1,Month-to-Month,Fibre,Female,1
280,28,55,93.75,7272.4,1,2,11,Month-to-Month,DSL,Male,1
281,45,3,55.33,7555.24,3,3,25,One Year,None,Male,1
282,42,32,49.65,7685.07,4,7,20,Two Year,Fibre,Male,0
283,67,10,54.97,4219.53,4,8,27,Month-to-Month,DSL,Male,1
284,40,34,97.47,7820.73,2,2,15,Month-to-Month,Fibre,Male,1
285,48,55,86.14,6082.75,1,5,3,One Year,Fibre,Female,0
286,47,32,38.52,1377.2,1,9,7,Two Year,Fibre,Male,0
287,59,50,37.41,3867.51,4,4,1,Month-to-Month,Fibre,Female,1
288,52,7,29.84,5774.82,1,5,9,Month-to-Month,None,Male,1
289,24,8,86.03,2053.99,2,3,8,One Year,DSL,Female,1
290,33,65,96.44,5160.86,3,9,22,Month-to-Month,Fibre,Female,1
291,43,57,46.5,5366.14,1,5,14,Month-to-Month,None,Female,1
292,65,67,22.09,1385.33,4,6,12,One Year,None,Male,0
293,69,59,28.22,4564.17,3,8,22,One Year,Fibre,Male,0
294,66,54,116.79,6195.85,3,9,16,One Year,None,Male,1
295,19,67,49.54,4041.28,2,6,29,One Year,DSL,Male,0
296,18,51,96.92,195.61,4,5,15,One Year,None,Female,0
297,65,8,82.47,171.4,1,0,27,Month-to-Month,DSL,Female,1
298,29,34,58.19,2920.53,4,1,1,Month-to-Month,DSL,Female,1
299,22,35,40.57,7416.93,3,0,19,Month-to-Month,DSL,Female,1
300,54,32,32.14,1906.55,4,8,19,Month-to-Month,Fibre,Male,1
301,49,46,81.5,5111.47,1,9,26,One Year,DSL,Female,1
302,26,16,97.46,1854.4,1,9,13,Two Year,DSL,Male,1
303,58,68,84.39,2641.19,2,8,2,Two Year,DSL,Female,0
304,52,37,73.03,6799.53,1,6,22,One Year,DSL,Female,1
305,36,54,24.2,5858.01,1,1,11,Month-to-Month,Fibre,Female,1
306,65,14,116.85,853.65,4,5,7,Month-to-Month,Fibre,Male,1
307,33,55,99.87,3486.75,4,3,1,Two Year,DSL,Male,0
308,20,48,49.28,330.44,3,0,3,One Year,Fibre,Female,0
309,37,7,118.0,3899.03,2,0,13,One Year,None,Female,1
310,41,7,80.19,5333.23,4,4,15,One Year,Fibre,Female,1
311,50,33,78.24,1036.17,1,1,18,One Year,DSL,Male,0
312,41,23,94.81,2382.19,3,3,1,Two Year,Fibre,Male,0
313,69,19,101.18,3242.91,4,0,11,Month-to-Month,DSL,Male,1
314,28,19,85.65,7364.3,2,3,28,One Year,DSL,Female,1
315,66,36,32.81,7946.71,2,5,13,Two Year,DSL,Male,0
316,25,29,53.83,454.8,3,9,5,Month-to-Month,None,Female,1
317,53,60,112.81,6111.96,3,3,12,One Year,DSL,Male,0
318,55,2,42.46,3036.62,3,0,3,Month-to-Month,DSL,Female,1
319,57,1,57.22,3200.42,3,6,21,Two Year,DSL,Female,1
320,37,47,63.21,6058.69,3,1,17,Month-to-Month,None,Male,1
321,52,69,63.94,7355.57,1,8,11,One Year,Fibre,Female,0
322,65,20,81.29,7612.34,1,2,19,Month-to-Month,DSL,Female,1
323,42,11,114.31,4659.27,4,7,26,One Year,Fibre,Female,1
324,52,2,44.07,2921.26,2,7,21,Month-to-Month,Fibre,Male,1
325,42,67,32.15,6321.64,1,2,29,Month-to-Month,Fibre,Female,1
326,46,12,39.75,2082.91,1,3,20,Month-to-Month,DSL,Male,1
327,35,20,108.69,4556.18,1,1,18,Two Year,None,Male,0
328,63,5,84.58,2932.77,4,3,7,Month-to-Month,DSL,Female,1
329,35,37,48.59,5287.39,3,8,6,Month-to-Month,Fibre,Male,1
330,19,38,101.59,1999.15,4,1,15,One Year,DSL,Female,0
331,52,9,106.14,1613.58,2,2,18,One Year,DSL,Male,1
332,33,53,104.65,7354.09,2,3,5,Two Year,DSL,Female,0
333,58,44,111.89,904.25,2,4,19,Month-to-Month,Fibre,Male,1
334,53,24,45.22,4097.07,2,0,26,One Year,DSL,Female,0
335,50,30,95.5,1844.74,1,6,20,Month-to-Month,Fibre,Female,1
336,21,59,66.05,407.55,1,9,10,Month-to-Month,DSL,Female,1
337,50,14,104.2,384.55,4,6,4,One Year,Fibre,Female,1
338,31,9,92.85,1484.25,3,8,15,One Year,None,Male,1
339,38,40,97.64,6947.49,2,3,6,One Year,Fibre,Male,0
340,65,66,85.62,2331.58,4,5,26,Month-to-Month,Fibre,Female,1
341,37,25,37.74,7608.63,1,1,4,Month-to-Month,Fibre,Male,1
342,25,22,74.5,4694.82,1,3,10,Month-to-Month,DSL,Female,1
343,24,4,118.47,3549.25,3,1,14,Two Year,None,Female,0
344,20,26,113.74,4682.7,3,9,2,Month-to-Month,DSL,Male,1
345,34,58,24.32,4181.92,3,4,25,Month-to-Month,Fibre,Male,1
346,50,29,36.48,6094.33,4,6,4,Month-to-Month,Fibre,Female,1
347,65,37,33.17,2331.72,1,0,22,One Year,DSL,Male,0
348,29,70,92.6,2889.1,1,9,20,Month-to-Month,DSL,Female,1
349,68,18,101.78,7163.34,3,9,4,Two Year,Fibre,Male,1
350,39,42,41.35,7577.01,2,6,8,Month-to-Month,None,Male,1
351,39,41,70.59,7151.21,3,9,14,Two Year,None,Male,0
352,63,38,104.07,3413.64,4,5,2,Month-to-Month,Fibre,Male,1
353,47,34,93.28,6264.89,3,5,28,One Year,Fibre,Male,1
354,55,17,74.22,3863.05,3,7,5,Two Year,None,Female,0
355,55,37,79.03,4030.56,4,7,16,Month-to-Month,DSL,Male,1
356,62,25,70.84,1716.97,3,5,25,Two Year,DSL,Male,1
357,68,27,49.75,4769.93,1,2,20,Month-to-Month,Fibre,Female,1
358,25,57,76.5,1570.47,2,4,7,Two Year,None,Female,0
359,44,31,88.89,2719.36,3,1,20,One Year,None,Female,0
360,44,6,107.33,6854.74,4,4,24,Month-to-Month,Fibre,Male,1
361,51,40,83.63,1735.9,2,8,10,Month-to-Month,DSL,Male,1
362,38,12,96.11,662.15,4,9,5,Month-to-Month,Fibre,Female,1
363,47,53,36.01,645.16,2,0,7,Month-to-Month,DSL,Female,1
364,50,71,66.16,7532.2,2,9,9,Month-to-Month,DSL,Female,1
365,45,10,20.93,4104.67,3,4,23,Month-to-Month,Fibre,Female,1
366,64,45,44.67,3334.36,1,5,28,Month-to-Month,DSL,Male,1
367,50,17,92.65,6505.94,3,6,2,One Year,None,Male,1
368,22,26,119.18,6703.02,4,8,22,Month-to-Month,Fibre,Male,1
369,65,62,29.92,2724.31,4,5,13,Month-to-Month,Fibre,Male,1
370,36,46,60.15,5579.58,2,4,22,One Year,DSL,Male,0
371,21,64,100.01,6191.87,2,6,13,Month-to-Month,DSL,Female,1
372,52,2,40.4,5271.74,1,0,9,Month-to-Month,DSL,Male,1
373,66,54,75.51,1297.6,3,4,11,Month-to-Month,None,Female,1
374,34,65,93.31,7019.48,4,1,5,Two Year,None,Female,0
375,61,51,81.6,4358.85,2,3,11,Two Year,Fibre,Female,0
376,45,53,38.8,2331.53,1,6,22,Month-to-Month,DSL,Male,1
377,47,36,55.54,3459.3,4,4,13,One Year,None,Female,1
378,46,26,98.38,396.81,2,5,1,One Year,DSL,Male,0
379,63,29,75.42,1110.15,4,1,8,One Year,DSL,Female,0
380,23,21,20.52,6147.82,1,2,9,One Year,Fibre,Male,0
381,52,11,96.1,100.09,1,6,25,One Year,None,Female,1
382,58,40,23.53,3390.87,4,1,16,Month-to-Month,DSL,Male,1
383,54,11,94.57,4227.83,3,5,16,Month-to-Month,DSL,Female,1
